Index,RefSeq_oriC,Z_occurance,G_occurance,D_occurance,Correct
0,NC_000908_0,0.5,0.995397944484459,0.0,True
1,NC_000908_1,0.2222222222222222,0.2568944262840047,0.0,False
2,NC_000908_2,0.0555555555555555,0.6581043271095351,0.0,False
3,NC_000908_3,0.0555555555555555,0.6390658762258297,0.0,False
4,NC_000908_4,0.1666666666666666,0.002858537869134,1.0,False
5,NZ_CP019639_0,0.28125,1.0,0.3,True
6,NZ_CP019639_1,0.28125,0.2338864401313232,0.4,False
7,NZ_CP019639_2,0.21875,0.5721926349825922,0.0,False
8,NZ_CP019639_3,0.15625,0.2246884380969708,0.1,False
9,NZ_CP019639_4,0.0625,0.0,0.2,False
10,NZ_CP016780_0,0.4117647058823529,0.9983943730390048,0.0,False
11,NZ_CP016780_1,0.2058823529411764,0.3148591667064838,0.0,False
12,NZ_CP016780_2,0.2058823529411764,0.6340872712504181,0.0,False
13,NZ_CP016780_3,0.088235294117647,0.4727819851243091,0.75,False
14,NZ_CP016780_4,0.088235294117647,0.001605626960995,0.25,False
15,NC_007482_0,0.4090909090909091,0.0,0.1818181818181818,False
16,NC_007482_1,0.2272727272727272,0.0,0.1818181818181818,False
17,NC_007482_2,0.0909090909090909,0.0,0.3636363636363636,False
18,NC_007482_3,0.0909090909090909,0.0,0.0909090909090909,False
19,NC_007482_4,0.1363636363636363,0.0,0.0909090909090909,False
20,NC_007482_5,0.0454545454545454,0.0,0.0909090909090909,False
21,NZ_CP018823_0,0.35,0.4929163830886743,0.2258064516129032,False
22,NZ_CP018823_1,0.35,0.4929163830886743,0.1290322580645161,False
23,NZ_CP018823_2,0.15,0.5,0.2903225806451613,False
24,NZ_CP018823_3,0.05,0.5,0.2580645161290322,False
25,NZ_CP018823_4,0.1,0.5,0.0967741935483871,False
26,NC_012960_0,0.4736842105263157,0.0,0.0,False
27,NC_012960_1,0.2631578947368421,0.0,0.0,False
28,NC_012960_2,0.1578947368421052,0.0,0.0,False
29,NC_012960_3,0.1052631578947368,0.0,0.0,False
30,NC_005824_0,0.5,0.0,0.0,True
31,NC_005824_1,0.0625,0.0,0.4,False
32,NC_005824_2,0.0625,0.0,0.2,False
33,NC_005824_3,0.1875,0.0,0.2,False
34,NC_005824_4,0.1875,0.0,0.2,False
35,NC_022130_0,0.36,1.0,0.0588235294117647,True
36,NC_022130_1,0.12,0.8206094416502197,0.1764705882352941,False
37,NC_022130_2,0.32,0.6663987394155473,0.2352941176470588,False
38,NC_022130_3,0.04,0.4187557034018803,0.1568627450980392,False
39,NC_022130_4,0.04,0.6296675049341058,0.1568627450980392,False
40,NC_022130_5,0.04,0.1917536767046539,0.0784313725490196,False
41,NC_022130_6,0.08,0.0,0.1372549019607843,False
42,NC_006831_0,1.0,0.5,1.0,True
43,NC_017358_0,0.4166666666666667,0.6063573029700953,0.1111111111111111,True
44,NC_017358_1,0.125,0.6063573029700953,0.1481481481481481,False
45,NC_017358_2,0.125,0.6063573029700953,0.2407407407407407,False
46,NC_017358_3,0.0833333333333333,0.3653554689490039,0.1666666666666666,False
47,NC_017358_4,0.1666666666666666,0.3653554689490039,0.1666666666666666,False
48,NC_017358_5,0.0416666666666666,0.3653554689490039,0.0925925925925925,False
49,NC_017358_6,0.0416666666666666,0.4002362575780732,0.074074074074074,False
50,NZ_CP010435_0,0.4166666666666667,0.591351858979785,0.1538461538461538,True
51,NZ_CP010435_1,0.375,0.4684047703087093,0.1538461538461538,False
52,NZ_CP010435_2,0.125,0.5913518589797851,0.2692307692307692,False
53,NZ_CP010435_3,0.0416666666666666,0.1964446282918851,0.3076923076923077,False
54,NZ_CP010435_4,0.0416666666666666,0.1964446282918851,0.1153846153846153,False
